url,mls_number,address,price,bedrooms,bathrooms,sqft,property_type,image_url,country,city,province,local_image_path
https://www.realtor.ca/real-estate/29007137/3101-27-mcmahon-drive-toronto-bayview-village-bayview-village,29007137,"3101 - 27 MCMAHON DRIVE, Toronto (Bayview Village), Ontario",3100,2,2,700,,https://cdn.realtor.ca/listings/TS638964098649530000/reb82/highres/0/c12470440_1.jpg,CA,Toronto (Bayview Village),Ontario,scripts/images_ca_selenium/29007137.jpg
https://www.realtor.ca/real-estate/29007138/623-35-bastion-street-toronto-niagara-niagara,29007138,"623 - 35 BASTION STREET, Toronto (Niagara), Ontario",2600,1 + 1,1,700,,https://cdn.realtor.ca/listings/TS638964098650930000/reb82/highres/1/c12470441_1.jpg,CA,Toronto (Niagara),Ontario,scripts/images_ca_selenium/29007138.jpg
https://www.realtor.ca/real-estate/29007139/613-35-brian-peck-crescent-toronto-thorncliffe-park-thorncliffe-park,29007139,"613 - 35 BRIAN PECK CRESCENT, Toronto (Thorncliffe Park), Ontario",2350,1 + 1,1,500,,https://cdn.realtor.ca/listings/TS638964098652000000/reb82/highres/5/c12470445_1.jpg,CA,Toronto (Thorncliffe Park),Ontario,scripts/images_ca_selenium/29007139.jpg
https://www.realtor.ca/real-estate/29007136/342-canyon-crescent-pincher-creek,29007136,"342 Canyon Crescent, Pincher Creek, Alberta",370000,3,1,960,,https://cdn.realtor.ca/listings/TS638964095238200000/reb26/highres/0/A2265520_1.jpg,CA,Pincher Creek,Alberta,scripts/images_ca_selenium/29007136.jpg
https://www.realtor.ca/real-estate/29007135/104-simcoe-crescent-middlesex-centre-komoka-komoka,29007135,"104 SIMCOE CRESCENT, Middlesex Centre (Komoka), Ontario",699999,4,2,700,,https://cdn.realtor.ca/listings/TS638964093319630000/reb33/highres/5/x12470435_1.jpg,CA,Middlesex Centre (Komoka),Ontario,scripts/images_ca_selenium/29007135.jpg
https://www.realtor.ca/real-estate/29007134/71-219-charlotte-wy-sherwood-park-lakeland-ridge,29007134,"#71 219 CHARLOTTE WY, Sherwood Park, Alberta",345000,2,3,1324,,https://realtor.ca/images/common/listingplaceholder-medres.jpg,CA,Sherwood Park,Alberta,scripts/images_ca_selenium/29007134.jpg
https://www.realtor.ca/real-estate/29007133/260-zimmerman-drive-winnipeg-charleswood,29007133,"260 Zimmerman Drive, Winnipeg, Manitoba",629900,4,3,1661,,https://cdn.realtor.ca/listings/TS638964091773000000/reb7/highres/0/202526630_0.jpg,CA,Winnipeg,Manitoba,scripts/images_ca_selenium/29007133.jpg
https://www.realtor.ca/real-estate/29007132/507-sheep-river-close-okotoks-sheep-river-ridge,29007132,"507 Sheep River Close, Okotoks, Alberta",694900,3 + 1,4,1949,,https://cdn.realtor.ca/listings/TS638964091450270000/reb9/highres/2/A2265492_1.jpg,CA,Okotoks,Alberta,scripts/images_ca_selenium/29007132.jpg
https://www.realtor.ca/real-estate/29007131/9-golf-links-drive-loyalist-bath-57-bath,29007131,"9 GOLF LINKS DRIVE, Loyalist (Bath), Ontario",2450,2,2,1100,,https://cdn.realtor.ca/listings/TS638964089950070000/reb82/highres/3/x12470423_1.jpg,CA,Loyalist (Bath),Ontario,scripts/images_ca_selenium/29007131.jpg
https://www.realtor.ca/real-estate/29007130/40-walker-road-unit-42-ingersoll,29007130,"40 WALKER Road Unit# 42, Ingersoll, Ontario",2650,3,3,1590,,https://cdn.realtor.ca/listings/TS638964089571570000/reb14/highres/6/40780386_1.jpg,CA,Ingersoll,Ontario,scripts/images_ca_selenium/29007130.jpg
https://www.realtor.ca/real-estate/29007129/128-oakside-bay-sw-calgary-oakridge,29007129,"128 Oakside Bay SW, Calgary, Alberta",1650000,3 + 1,4,2631,,https://cdn.realtor.ca/listings/TS638964088700100000/reb9/highres/3/A2265063_1.jpg,CA,Calgary,Alberta,scripts/images_ca_selenium/29007129.jpg
https://www.realtor.ca/real-estate/29007128/1102-105-champagne-avenue-ottawa-4502-west-centre-town,29007128,"1102 - 105 CHAMPAGNE AVENUE, Ottawa, Ontario",2400,2,2,500,,https://cdn.realtor.ca/listings/TS638964087455800000/reb76/highres/6/x12470446_1.jpg,CA,Ottawa,Ontario,scripts/images_ca_selenium/29007128.jpg
https://www.realtor.ca/real-estate/29007120/716-ch-robinson-pontiac-quyon,29007120,"716 Ch. Robinson, Pontiac, Quebec",39900,,,,,https://cdn.realtor.ca/listings/TS638964084149530000/reb109/highres/0/11148080_1.jpg,CA,Pontiac,Quebec,scripts/images_ca_selenium/29007120.jpg
https://www.realtor.ca/real-estate/29007118/254-third-street-collingwood-collingwood,29007118,"254 THIRD STREET, Collingwood, Ontario",1149000,3,2,1100,,https://cdn.realtor.ca/listings/TS638964083993430000/reb47/highres/6/s12470436_1.jpg,CA,Collingwood,Ontario,scripts/images_ca_selenium/29007118.jpg
https://www.realtor.ca/real-estate/29007116/138-factor-street-vaughan-kleinburg-kleinburg,29007116,"138 FACTOR STREET, Vaughan (Kleinburg), Ontario",2050000,4 + 2,5,2500,,https://cdn.realtor.ca/listings/TS638964082766100000/reb82/highres/9/n12470429_1.jpg,CA,Vaughan (Kleinburg),Ontario,scripts/images_ca_selenium/29007116.jpg
https://www.realtor.ca/real-estate/29007113/325-vellore-avenue-vaughan-vellore-village-vellore-village,29007113,"325 VELLORE AVENUE, Vaughan (Vellore Village), Ontario",1329900,3,4,1500,,https://cdn.realtor.ca/listings/TS638964082761370000/reb82/highres/2/n12470422_1.jpg,CA,Vaughan (Vellore Village),Ontario,scripts/images_ca_selenium/29007113.jpg
